id,name,desc,type,domain,vega,cq
70,pintuan.service.PintuanService.cancelPintuan,取消拼团,pintuan,order,1,
71,pintuan.service.PintuanService.createPintuanAndAddHeader,创建拼团并且添加团长,pintuan,order,1,
72,pintuan.service.PintuanService.joinPintuan,根据团id加入拼团,pintuan,order,1,
73,pintuan.service.PintuanService.joinPintuanByTuanId,根据团id加入拼团,pintuan,order,1,
74,pintuan.service.PintuanService.updatePrizeInfo,拼团标记为已中奖,pintuan,order,1,
75,updatePintuanOrderStatus2Normal4DeliveryMessage,抽奖/试用拼团允许发货接口,pintuan,order,1,
76,pintuan.service.PintuanService.joinPintuanFail,加入拼团失败,pintuan,order,0,
77,pintuan.service.PintuanService.autoSuccessTuan,自动参满团,pintuan,order,0,
78,pintuan.service.PintuanService.addTuanFull,自动参满团,pintuan,order,0,
79,com.juanpi.spi.order.service.OrderDeliverService#createOrderDeliveryFix,创建包裹单(临时修数据用),order,order,0,
80,com.juanpi.spi.order.service.OrderDeliverService#updateOrderSellerRemark,商家添加备注,order,order,0,
81,com.juanpi.spi.order.service.OrderDeliverService#insterPayInfo,修复数据专用,order,order,0,
82,com.juanpi.spi.order.service.OrderDeliverService#updateDeliveryInfoData,修复数据专用,order,order,0,
83,com.juanpi.spi.order.service.OrderDeliverService#updateDeliveryInfoForNew,,order,order,0,
84,com.juanpi.spi.order.service.OrderDeliverService#orderConfirm,订单确认收货 运用场景虚拟订单确认收货,order,order,0,
85,com.juanpi.spi.order.service.OrderEventService#queryUnpaidSkuQuantity,查询未付款sku的数量,order,order,0,
86,com.juanpi.spi.order.service.OrderEventService#queryPaidOrderQuanity,查询已付款订单的数量,order,order,0,
87,com.juanpi.spi.order.service.OrderManagerFixService#fixOrderStatus,修改订单状态,order,order,0,
88,com.juanpi.spi.order.service.OrderManagerFixService#fixOrderDeliveryStatus,修改发货状态,order,order,0,
89,com.juanpi.spi.order.service.OrderManagerFixService#fixOrderReceiptStatus,修改收货状态,order,order,0,
90,com.juanpi.spi.order.service.OrderManagerFixService#fixOrderPayStatus,更新支付状态,order,order,0,
91,com.juanpi.spi.order.service.OrderManagerFixService#fixStatus,,order,order,0,
92,com.juanpi.spi.order.service.OrderManagerFixService#syncMainOrder,,order,order,0,
93,com.juanpi.spi.order.service.OrderManagerFixService#syncOrderInfoFileds,同步订单字段,order,order,0,
94,com.juanpi.spi.order.service.OrderManagerFixService#syncGoodsFileds,同步商品字段,order,order,0,
95,com.juanpi.spi.order.service.OrderManagerFixService#fixRessuiseOrder,修补发单,order,order,0,
96,com.juanpi.spi.order.service.OrderManagerFixService#fixAllFileds,同步老库和新库的所有状态字段或者同步商家侧和用户侧的问题,order,order,0,
97,com.juanpi.spi.order.service.OrderManagerFixService#syncOrderYinyan,一键修复鹰眼,order,order,0,
98,com.juanpi.spi.order.service.OrderManagerFixService#fixAlipayAmount,一键修复支付宝支付立减,order,order,0,
99,com.juanpi.spi.order.service.OrderManagerService#sharding,,order,order,0,
100,com.juanpi.spi.order.service.OrderManagerService#searchOrderUserDatas,,order,order,0,
101,com.juanpi.spi.order.service.OrderManagerService#searchSellerOrder,,order,order,0,
102,com.juanpi.spi.order.service.OrderManagerService#querySyncOrders,,order,order,0,
